key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
DIARY.MEDICATION.MEDICATION_2-KIND.ANALYSIS.HINT.1.TEXT,,"Bitte auf keinen Fall die empfohlene Gesamttagesmenge an Paracetamol überschreiten. Mehr als 60mg/kg Körpergewicht dürfen pro Tag nicht gegeben werden, weil es sonst zu Leberschäden kommen kann. Paracetamol ist ein Schmerzmittel, das die Solltemperatur senkt. Erwarten Sie bei {{name}} eine leichte Temperatursenkung 20 bis 40 Minuten nach der Gabe, die ca. 4 bis 6 Stunden anhält. Fiebersenkende Mittel sollten nur nach ärztlichem Rat verabreicht werden. Sie können Linderung bringen, beeinflussen jedoch auch das Immunsystem ungünstig und können Nebenwirkungen haben. Bitte beachten Sie, dass es auch nicht-medikamentöse Maßnahmen zur Verbesserung des Wohlbefindens gibt (siehe Infothek).","Under no circumstances should you exceed the recommended total daily amount of paracetamol. Do not give more than 60mg/kg body weight per day, otherwise liver damage may occur. Paracetamol is a pain-reducer that lowers the target temperature. For {{name}} expect a slight temperature drop 20 to 40 minutes after administration, which will last for about 4 to 6 hours. Fever-reducing (antipyretic) drugs should only be administered after medical advice. They can bring relief, but they also have an unfavourable effect on the immune system and can have side effects. Please note that there are also non-drug measures to improve your well-being (see Infothek).","Пожалуйста, ни в коем случае не превышайте рекомендуемое общее дневное количество парацетамола. Больше, чем 60 мг/кг массы тела в день не должны превышаться, потому что в противном случае это может привести к повреждению печени. Парацетамол – это болеутоляющее средство, которое снижает температуру. Через 20-40 минут после приема можно ожидать лёгкого снижения температуры у {{name}}, которое длится примерно от 4 до 6 часов. Жаропонижающие средства надо принимать только по назначению врача. Они могут принести облегчение, но они также неблагоприятно влияют на иммунную систему и могут иметь побочные эффекты. Обратите внимание, что существуют также немедикаментозные меры для улучшения самочувствия (см. инфотеку).","Lütfen hiçbir koşulda önerilen, günlük toplam parasetamol miktarını aşmayın. Bu karaciğer hasarına yol açabileceğinden,  günde vücut ağırlığı başına 60 mg dan fazlası verilmemelidir. Parasetamol, aynı zamanda hedef sıcaklığı düşüren bir ağrı kesicidir. {{name}}’nin/ {{name}}’nın ateşi uygulamadan 20 ila 40 dakika sonra ve yaklaşık 4 ila 8 saat sürebilecek hafif bir düşüşe geçeceğini hesaba katın. Ateş düşürücü ilaçlar sadece doktor tavsiyesi aldıktan sonra verilmelidir. Bu ilaçlar rahatlama sağlayabilirler, ancak aynı zamanda bağışıklık sistemini de olumsuz etkilerler ve yan etkileri de olabilir. Sağlığınızı iyileştirmek için ilaç dışı tedbirler de olduğunu lütfen unutmayın (bilgi kütüphanesine bakın).",يرجى عدم تجاوز الكمية اليومية الموصى بها من الباراسيتامول تحت أي ظرف من الظروف. يجب عدم إعطاء أكثر من 60 مجم / كجم من وزن الجسم يوميًا ، لأن ذلك قد يؤدي إلى تلف الكبد. الباراسيتامول هو مسكن للآلام يخفض درجة الحرارة المستهدفة. توقع انخفاضًا طفيفًا في درجة حرارة طفلك بعد 20 إلى 40 دقيقة من تناوله ، والذي سيستمر لمدة 4 إلى 6 ساعات تقريبًا. لا ينبغي إعطاء الأدوية الخافضة للحرارة إلا بعد استشارة طبية. يمكن أن توفر الراحة ، لكنها تؤثر أيضًا سلبًا على جهاز المناعة ويمكن أن يكون لها آثار جانبية. يرجى ملاحظة أن هناك أيضًا تدابير غير دوائية لتحسين الرفاهية (انظر مكتب المعلومات).,"Veuillez ne pas dépasser la quantité quotidienne totale recommandée de paracétamol. Veuillez ne pas administrer plus de 60mg/kg de poids corporel par jour, car cela pourrait mener à des lésions hépatiques. Le paracétamol est un antidouleur qui réduit également la température. Vous pouvez vous attendre à ce que {{name}} ait une légère baisse de température 20 à 40 minutes après l'administration du médicament, avec un effet d'une durée d'environ 4 à 6 heures. Les antipyrétiques ne doivent être administrés que sur avis médical. Ils peuvent apporter un soulagement, mais ont également un effet négatif sur le système immunitaire et peuvent mener à des effets secondaires. Veuillez noter qu'il existe également des mesures non médicamenteuses pour améliorer le bien-être de votre enfant (voir infothèque).",تحت هیچ شرایطی نباید از مقدار توصیه شده روزانه،  پاراستامول بیشتر مصرف شود.  بیش از 60 میلی گرم/کیلوگرم وزن بدن در روز به کودک ندهید، در غیر این صورت امکان آسیب به کبد وجود دارد. پاراستامول یک کاهش دهنده درد است که دمای بدن را کاهش می دهد. برای {{name}} انتظار افت دما 20 تا 40 دقیقه پس از دادن دارو را داشته باشید که این اثر حدودا 4 تا 6 ساعت ادامه خواهد داشت. داروهای کاهش دهنده دمای بدن (تب) فقط باید پس از مشاوره پزشکی استفاده شوند. آنها می توانند موجب تسکین شوند، اما همچنین تأثیر نامطلوبی بر روی سیستم ایمنی بدن دارند و می توانند عوارض جانبی داشته باشند. لطفا توجه داشته باشید که اقدامات غیر دارویی نیز برای بهبود وضعیت سلامتی شما وجود دارد (به کتابخانه مراجعه کنید).,"Overschrijd in geen geval de aanbevolen totale dagelijkse hoeveelheid paracetamol. Er mag niet meer dan 60 mg/kg lichaamsgewicht per dag worden gegeven, omdat dit tot leverbeschadiging kan leiden. Paracetamol is een pijnstiller die de temperatuur verlaagt. Verwacht bij {{name}} een lichte temperatuurdaling 20 tot 40 minuten na toediening, die ongeveer 4 tot 6 uur aanhoudt. Koortsverlagende middelen (antipyretica) mogen alleen worden gegeven na medisch advies. Ze kunnen verlichting bieden, maar hebben ook een nadelige invloed op het immuunsysteem en kunnen bijwerkingen hebben. Houd er rekening mee dat er ook niet-medicamenteuze maatregelen zijn om het welzijn te verbeteren (zie informatiebalie).","W żadnym wypadku nie należy przekraczać zalecanej całkowitej dziennej dawki paracetamolu. Nie wolno podawać więcej niż 60mg/kg masy ciała na dobę, w przeciwnym razie może dojść do uszkodzenia wątroby. Paracetamol jest środkiem przeciwbólowym, który obniża temperaturę docelową. Spodziewaj się, że {{name}} będzie miał nieznaczne obniżenie temperatury 20 do 40 minut po podaniu, utrzymujące się przez około 4 do 6 godzin. Leki przeciwgorączkowe powinny być podawane tylko na zalecenie lekarza. Mogą one przynieść ulgę, ale mają też niekorzystny wpływ na układ odpornościowy i mogą wywoływać skutki uboczne. Należy pamiętać, że istnieją również nielekowe środki poprawiające samopoczucie (patrz Infoteka).","Si prega di non superare la quantità totale giornaliera raccomandata di paracetamolo. Non devono essere somministrati più di 60mg/kg di peso corporeo al giorno, altrimenti possono verificarsi danni al fegato. Il paracetamolo è un antidolorifico che abbassa la temperatura. Aspettatevi che {{name}}  abbia una leggera riduzione della temperatura da 20 a 40 minuti dopo la somministrazione, che dura circa 4-6 ore. Gli antipiretici dovrebbero essere dati solo su consiglio medico. Possono portare sollievo, ma hanno anche un'influenza sfavorevole sul sistema immunitario e possono avere effetti collaterali. Si prega di notare che ci sono anche misure non farmacologiche per migliorare il benessere (vedi Infothek).","En ningún caso debe exceder la cantidad diaria total recomendada de paracetamol. No administre más de 60 mg/kg de peso corporal por día, de lo contrario puede causar daño hepático. El paracetamol es un analgésico que reduce la temperatura. Para {{name}}, espere un ligero descenso de la temperatura entre 20 y 40 minutos después de la administración, que durará entre 4 y 6 horas. Los medicamentos para reducir la fiebre (antipiréticos) solo deben administrarse después de un consejo médico. Pueden brindar alivio, pero también tienen un efecto desfavorable sobre el sistema inmunológico y pueden tener efectos secundarios. Tenga en cuenta que también existen medidas no farmacológicas para mejorar su bienestar (ver Biblioteca).","En ningún caso debe exceder la cantidad diaria total recomendada de paracetamol. No administre más de 60 mg/kg de peso corporal por día, de lo contrario puede causar daño hepático. El paracetamol es un analgésico que reduce la temperatura. Para {{name}}, espere un ligero descenso de la temperatura entre 20 y 40 minutos después de la administración, que durará entre 4 y 6 horas. Los medicamentos para reducir la fiebre (antipiréticos) solo deben administrarse después de un consejo médico. Pueden brindar alivio, pero también tienen un efecto desfavorable sobre el sistema inmunológico y pueden tener efectos secundarios. Tenga en cuenta que también existen medidas no farmacológicas para mejorar su bienestar (ver Infothek).","Em nenhum caso você deve exceder a quantidade diária total recomendada de paracetamol. Não administre mais de 60 mg/kg de peso corporal por dia, caso contrário podem ocorrer danos no fígado. O paracetamol é um analgésico que reduz a temperatura. Para {{ nome }}, espere uma ligeira queda na temperatura 20 a 40 minutos após a administração, que durará 4 a 6 horas. Medicamentos para reduzir a febre (antitérmicos) só devem ser administrados após orientação médica. Eles podem proporcionar alívio, mas também têm um efeito desfavorável no sistema imunológico e podem ter efeitos colaterais. Observe que também existem medidas não farmacológicas para melhorar o seu bem-estar (ver Infothek ).","Будь ласка, у жодному разі не перевищуйте рекомендовану загальну денну кількість парацетамолу. Не перевищуйте добову дозу більше 60 мг/кг маси тіла на день, тому що в іншому випадку це може призвести до пошкодження печінки. Парацетамол – це болезаспокійливий засіб, який знижує температуру. Через 20-40 хвилин після прийому очікується легке зниження температури у {{name}}, яке триває приблизно від 4 до 6 годин. Жарознижувальні засоби треба приймати лише за призначенням лікаря. Вони можуть принести полегшення, але також несприятливо впливають на імунну систему і можуть мати побічні ефекти. Зауважте, що існують також немедикаментозні заходи для покращення самопочуття (див. інфотеку).","არ გადააჭარბოთ პარაცეტამოლის რეკომენდირებულ დღიურ დოზას. არ მისცეთ 60 მგ/კგ სხეულის წონაზე მეტი მედიკამენტი დღეში, რადგან შესაძლოა გამოიწვიოთ ღვიძლის დაზიანება. პარაცეტამოლი არის ტკივილგამაყუჩებელი, რომელიც ამცირებს ტემპერატურას. {{name}} სავარაუდოა მცირედით ტემპერატურის შემცირება მიღებიდან 20-დან 40 წუთის შუალედში, მოქმედება გრძელდება 4-დან 6 საათი. გარდა ეფექტურად მოქმედებისა, შესაძლოა ჰქონდეს არასასურველი გავლენა იმუნურ სისტემაზე და გვერდითი ეფექტები. გაითვალისწინეთ, რომ არსებობს სხვა არამედიკამენტური საშუალებები, რომლებიც შეგიმსუბუქებენ მდგომარეობას."
DIARY.MEDICATION.MEDICATION_2-KIND.ANALYSIS.HINT.2.TEXT,,"Mehr als die Hälfte aller Fiebererkrankungen werden durch Viren verursacht. Antibiotika können nur bakterielle Infekte bekämpfen und keine Viren. Daher sollten Antibiotika nur nach ärztlichem Rat genommen werden. Eine zu häufige Gabe von Antibiotika führt zu Resistenzen, wodurch diese ihre Wirkung verlieren können.","More than half of all febrile diseases are caused by viruses. Antibiotics can only fight bacterial infections, they do not help against viruses. Therefore antibiotics should only be taken after medical advice. Too frequent administration of antibiotics leads to bacterial resistance, which can cause the antibiotics to lose their effect.","Более половины всех заболеваний, сопровождающихся повышенной температурой, вызваны вирусами. Антибиотики могут бороться только с бактериальными инфекциями, а не с вирусами. Поэтому антибиотики следует принимать только по назначению врача. Слишком частое применение антибиотиков приводит к резистентности, в результате чего они могут потерять свой эффект.","Tüm ateşli hastalıkların yarısından fazlasına virüsler neden olur. Antibiyotikler, virüslerle değil, yalnızca bakteriyel enfeksiyonlarla savaşabilir. Bu nedenle antibiyotikler yalnızca tıbbi tavsiye alındıktan sonra kullanılmalıdır. Çok sık antibiyotik kullanımı antibiyotik direncine neden olur ve bunun sonucunda etkilerini kaybedebilirler.",أكثر من نصف جميع حالات الحمى التي تسببها الفيروسات. المضادات الحيوية يمكن أن تحارب فقط الالتهابات البكتيرية والفيروسات. ولذلك، يجب فقط أن تؤخذ المضادات الحيوية على المشورة الطبية. الاستخدام المتكرر جدا من المضادات الحيوية يؤدي إلى مقاومة، لذلك هذا التأثير يمكن أن يفقد.,"Plus de la moitié des maladies fébriles sont causées par des virus. Les antibiotiques peuvent seulement combattre les infections bactériennes et non les virus. Par conséquent, les antibiotiques doivent être uniquement pris après un avis médical. L'administration trop fréquente d'antibiotiques entraîne des résistances bactériennes, ce qui peut conduire à la perte de leur efficacité.",بیش از نیمی از بیماری های تب دار ناشی از وجود ویروس ها هستند. آنتی بیوتیک ها فقط می توانند با عفونت های باکتریایی مقابله کنند و در مقابله با ویروس ها کمکی نمی کنند. بنابراین آنتی بیوتیک ها فقط باید پس از مشاوره پزشکی مصرف شوند. تجویز بیش از حد آنتی بیوتیک منجر به مقاومت باکتریایی می شود که می تواند باعث از بین رفتن اثر آنتی بیوتیک شود.,"Virussen veroorzaken meer dan de helft van alle koortsachtige ziekten. Antibiotica kunnen alleen bacteriële infecties bestrijden en geen virussen. Daarom mogen antibiotica alleen worden ingenomen na medisch advies. Te frequente toediening van antibiotica leidt tot resistentie, waardoor ze hun effectiviteit kunnen verliezen.","Ponad połowa wszystkich chorób gorączkowych jest wywoływana przez wirusy. Antybiotyki mogą zwalczać tylko infekcje bakteryjne, a nie wirusowe. Dlatego antybiotyki powinny być przyjmowane wyłącznie po konsultacji z lekarzem. Zbyt częste podawanie antybiotyków prowadzi do powstania oporności, przez co mogą one stracić swoje działanie.","Più della metà delle malattie febbrili vengono causate da un virus. Gli antibiotici non sono efficienti nelle infezioni virali, sono in quelle batteriche. Per questo l'antibiotico viene solo somministrato su consiglio medico. Somministrazioni di antibiotici troppo frequenti possono creare una resistenza e per questo perdere il loro effetto.","Más de la mitad de todas las enfermedades febriles son causadas por virus. Los antibióticos solo pueden combatir las infecciones bacterianas, no ayudan contra los virus. Por lo tanto, los antibióticos solo deben tomarse después de un consejo médico. La administración demasiado frecuente de antibióticos conduce a la resistencia bacteriana, lo que puede hacer que los antibióticos pierdan su efecto.","Más de la mitad de todas las enfermedades febriles son causadas por virus. Los antibióticos solo pueden combatir las infecciones bacterianas, no ayudan contra los virus. Por lo tanto, los antibióticos solo deben tomarse después de un consejo médico. La administración demasiado frecuente de antibióticos conduce a la resistencia bacteriana, lo que puede hacer que los antibióticos pierdan su efecto.","Mais da metade de todas as doenças febris são causadas por vírus. Os antibióticos só podem combater infecções bacterianas, não ajudam contra vírus. Portanto, os antibióticos só devem ser tomados após orientação médica. Administrar antibióticos com muita frequência leva à resistência bacteriana, o que pode fazer com que os antibióticos percam seu efeito.","Більше половини всіх захворювань, що супроводжуються підвищеною температурою, спричинені вірусами. Антибіотики можуть боротися лише з бактеріальними інфекціями, а чи не з вірусами. Тому антибіотики слід приймати лише за призначенням лікаря. Занадто часте застосування антибіотиків призводить до резистентності, внаслідок чого вони можуть втратити свою ефективність.","დაავადებები რომლებიც მიმდინარეობენ ცხელებით მათგან ნახევარზე მეტი გამოწვეულია ვირუსებით. ანტიბიოტიკი ებრძვის მხოლოდ ბაქტერიით გამოწვეულ ინფექციას, ისინი არ მოქმედებენ ვირუსებზე. აქედან გამომდინარე ანტიბიოტიკი უნდა მიიღოთ მხოლოდ ექიმის დანიშნულებით. ანტიბიოტიკის ხშირმა გამოყენებამ შესაძლოა განავითაროს ბაქტერიის რეზისტენტობა მის მიმართ, რაც შემდგომ მედიკამენტის ეფექტურობაზე იმოქმედებს."
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.QUESTION,,In welcher Form hat {{name}} Ibuprofen bekommen?,In what form did {{name}} get Ibuprofen?,В какой форме Вы дали {{name}} ибупрофен?,{{name}} Ibuprofeni hangi formda aldı?,في ما شكل يفعل {{name}} الحصول على الإيبوبروفين؟,Sous quelle forme {{name}} a-t-il/elle reçu de l'ibuprofène ?,در چه حالتی {{name}} ایبوپروفن دریافت کرد؟,In welke vorm kreeg {{name}} ibuprofen toegediend?,W jakiej formie {{name}} dostał(a) ibuprofen?,In che forma è stato somministrato ibuprofene a {{name}}  ?,¿En qué forma {{name}} tomó ibuprofeno?,¿En qué forma {{name}} tomó ibuprofeno?,Em que forma {{name}} tomou ibuprofeno?,В якій формі Ви дали {{name}} ібупрофен?,რა სახით მიიღო {{name}}მ იბუპროფენი?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.DISPLAY,,Verabreichung: {{value}},Dosage: {{value}},Форма: {{value}},Dozaj: {{value}},الإدارة: {{value}},Administration: {{value}},فرم: {{value}},Administratie: {{value}},Postać: {{value}},somministrazione: {{value}},Dosis: {{value}},Dosis: {{value}},Dose: {{value}},Форма: {{value}},ფორმა : {{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.1.LABEL,,Tablette,Pills,Таблетки,Tabletler,لوح,Comprimés,قرص,Tabletten,Tabletka,compressa,Pastillas,Pastillas,Comprimidos,Таблетки,ტაბლეტი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.2.LABEL,,Saft,Liquid,Сок,Şurup,عصير,Sirop,شربت,Vloeibaar,Syrop,sciroppo,Jarabe,Líquido,Líquido,Суспензія,სუსპენზია
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.3.LABEL,,Zäpfchen,Suppositories,Свечи,Fitil,تحميلة,Suppositoires ,شیاف,Zetpillen,Czopek,supposta,Supositorios,Supositorios,Supositórios,Свічки,რექტალური სანთელი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.4.LABEL,,Kügelchen,Globules,Шарики,Kürecikler / Globuli,كرية دم,Granules,گویچه,Korreltjes,Granulki,globuli,Glóbulos/ Chochos,Glóbulos,Glóbulos,Гранули,აბი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.5.LABEL,,Tropfen,Drops,Капли,Damla,قطرات,Gouttes ,قطره,Druppels,Krople,gocce,Gotas,Gotas,Gotas,Краплі,წვეთები
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.6.LABEL,,Beutel,Bags,Пакетики,Şase poşet,كيس,Sachet ,کیسه,Sachets,Saszetka,bustine,Bolsas,Bolsitas,Sachês,Пакетики,პაკეტები
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.OPTION.7.LABEL,,Andere,Other,Другая,Diğer,آخر,Autre ,دیگر,Andere,Inne,altro,Otros,Otro,Outro,Інша,სხვა
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-KIND.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PILL.QUESTION,,Wie viel Milligramm (mg) Tabletten Ibuprofen hat {{name}} bekommen?,How many milligrams (mg) of Ibuprofen in pill form did {{name}} get?,Сколько миллиграмм (мг) таблеток ибупрофена Вы дали {{name}}?,{{name}} kaç miligram (mg) İbuprofen tableti aldı?,كم مليغرام (ملغم) أقراص ديه ايبوبروفين {{name}} عليه؟,Combien de milligrammes (mg) de comprimé d'ibuprofène {{name}} a-t-il/elle reçu ? ,چند میلی گرم (mg) قرص ایبوپروفن {{name}} دریافت کرده است؟,Hoeveel milligram (mg) ibuprofen-tabletten heeft {{name}} gekregen?,Ile miligramów (mg) tabletek ibuprofenu otrzymał(a) {{name}}?,"Quale compressa (quanti milligrammi, mg) d'ibuprofene è stata data a {{name}}  ?",¿Cuántos miligramos (mg) de ibuprofeno en pastillas tomó {{name}}?,¿Cuántos miligramos (mg) de ibuprofeno en pastillas tomó {{name}}?,Quantos miligramas (mg) em comprimidos de ibuprofeno {{name}} tomou?,Скільки міліграм (мг) ібупрофену в таблетках Ви дали {{name}}?,რამდენი მილიგრამი (მგ) იბუპროფენი მიიღო {{name}}მ ტაბლეტის სახით?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PILL.DISPLAY,,Dosis: {{value}}mg,Dose: {{value}} mg,Доза: {{value}} мг,Doz: {{value}} mg,الجرعة: {{value}} ملغ,Dose: {{value}}mg,دوز: {{value}} میلی گرم ,Dosis: {{value}} mg,Dawka: {{value}}mg,dose: {{value}}mg,Dosis: {{value}} mg,Dosis: {{value}} mg,Dose: {{value}} mg,Доза: {{value}} мг,დოზა: {{value}} მგ
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PILL.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-LIQUID.QUESTION,,Wie viel Milliliter (ml) Saft Ibuprofen hat {{name}} bekommen?,How many milliliters (ml) of Ibuprofen in liquid form did you give {{name}}?,Сколько миллилитров (мл) сока ибупрофена Вы дали {{name}}?,{{name}} kaç mililitre İbuprofen şurubu aldı?,كم يوجد ملليلتر (مل) من عصير ايبوبروفين {{name}} عليه؟,Combien de millilitres (ml) de sirop d'ibuprofène {{name}} a-t-il/elle reçu ? ,چند میلی لیتر (ml) شربت ایبوپروفن {{name}} دریافت کرده است؟,Hoeveel milliliter (ml) vloeibaar ibuprofen heeft {{name}} gekregen?,Ile mililitrów (ml) syropu ibuprofen otrzymał(a) {{name}}?,Quanti millilitri (ml) di sciroppo di ibuprofene sono stati dati a {{name}}  ?,¿Cuántos mililitros (ml) de ibuprofeno en forma líquida le diste a {{name}}?,¿Cuántos mililitros (ml) de ibuprofeno en forma líquida le diste a {{name}}?,Quantos mililitros (ml) de ibuprofeno líquido você deu a {{name}}?,Скільки мілілітрів (мл) ібупрофену в сиропі Ви дали {{name}}?,რამდენი მილილიტრი (მლ) იბუპროფენი მიიღო {{name}}მ სუსპენზიის სახით?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-LIQUID.DISPLAY,,Dosis: {{value}}ml,Dose: {{value}} ml,Доза: {{value}} мл,Doz: {{value}} ml,الجرعة: {{value}} مل,Dose: {{value}}ml,دوز: {{value}} میلی لیتر,Dosis: {{value}} ml,Dawka: {{value}}ml,dose: {{value}}ml,Dosis: {{value}} ml,Dosis: {{value}} ml,Dose: {{value}} ml,Доза: {{value}} мл,დოზა: {{value}} მლ
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-LIQUID.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-SUPPOSITORY.QUESTION,,Wie viele Zäpfchen Ibuprofen hat {{name}} bekommen?,How many suppositories of Ibuprofen did {{name}} get?,Сколько свечей ибупрофена Вы дали {{name}}?,{{name}} kaç adet İbuprofen fitili aldı?,كم عدد التحاميل ايبوبروفين و {{name}} عليه؟,Combien de suppositoires d'ibuprofène {{name}} a-t-il/elle reçu ? ,چند عدد شیاف ایبوپروفن {{name}} دریافت کرده است؟,Hoeveel zetpillen van ibuprofen heeft {{name}} gekregen?,Ile czopków ibuprofenu dostał(a) {{name}}?,Quante supposte ibuprofene sono state somministrate a {{name}}  ?,¿Cuántos supositorios de ibuprofeno recibió {{name}}?,¿Cuántos supositorios de ibuprofeno recibió {{name}}?,Quantos supositórios de ibuprofeno {{name}} recebeu?,Скільки свічок ібупрофену Ви дали {{name}}?,იბუპროფენის რამდენი რექტალური სანთელი მიიღო {{name}}მ?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-SUPPOSITORY.DISPLAY,,Dosis: {{value}} Zäpfchen,Dose: {{value}} suppositories,Доза: {{value}} свечей,Doz: {{value}} fitil,الجرعة: {{value}} التحاميل,Dose: {{value}}suppositoires ,دوز: {{value}} شیاف,Dosis: {{value}} zetpillen,Dawka: {{value}} Czopki,dose: {{value}}supposte,Dosis: {{value}} supositorios,Dosis: {{value}} supositorios,Dosagem: {{value}} supositórios,Доза: {{value}} свічок,დოზა: {{value}} რექტალური სანთელი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-SUPPOSITORY.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PELLETS.QUESTION,,Wie viele Kügelchen Ibuprofen hat {{name}} bekommen?,How many globules of Ibuprofen did {{name}} get?,Сколько шариков ибупрофена Вы дали {{name}}?,{{name}} kaç adet İbuprofen küreciği (globuli) aldı?,كم عدد حبات ايبوبروفين لديها {{name}} الحصول على؟,Combien de granules d'ibuprofène {{name}} a-t-il/elle reçu ? ,چند عدد گویچه ایبوپروفن {{name}} دریافت کرده است؟,Hoeveel korreltjes ibuprofen heeft {{name}} gekregen?,Ile granulatu ibuprofenu dostał(a) {{name}}?,Quanti globuli di ibuprofene sono stati somministrati a {{name}}  ?,¿Cuántos glóbulos de ibuprofeno tomó {{name}}?,¿Cuántos glóbulos de ibuprofeno tomó {{name}}?,Quantos glóbulos de ibuprofeno {{name}} tomou?,Скільки гранул ібупрофену Ви дали {{name}}?,იბუპროფენის რამდენი აბი მიიღო {{name}}მ?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PELLETS.DISPLAY,,Dosis: {{value}} Kügelchen,Dose: {{value}} globule,Доза: {{value}} шариков,Doz: {{value}} kürecikler (globuli),الجرعة: {{value}} الخرز,Dose: {{value}}granules,دوز: {{value}} گویچه,Dosis: {{value}} korreltjes,Dawka: {{value}} granulatu,dose: {{value}}globuli,Dosis: {{value}} glóbulos,Dosis: {{value}} glóbulos,Dose: {{value}} glóbulos,Доза: {{value}} гранул,დოზა: {{value}} აბი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-PELLETS.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-DROPS.QUESTION,,Wie viele Tropfen Ibuprofen hat {{name}} bekommen?,How many drops of Ibuprofen did {{name}} get?,Сколько капель ибупрофена Вы дали {{name}}?,{{name}} kaç damla İbuprofen aldı?,كم عدد قطرات من ايبوبروفين {{name}} عليه؟,Combien de gouttes d'ibuprofène {{name}} a-t-il/elle reçu ?,چند قطره ایبوپروفن {{name}} دریافت کرده است؟,Hoeveel druppels ibuprofen heeft {{name}} ingenomen?,Ile kropli ibuprofenu dostał(a) {{name}}?,Quante gocce di ibuprofene sono state somministrate a {{name}} ?,¿Cuántas gotas de ibuprofeno tomó {{name}}?,¿Cuántas gotas de ibuprofeno tomó {{name}}?,Quantas gotas de ibuprofeno {{name}} tomó?,Скільки крапель ібупрофену Ви дали {{name}}?,იბუპროფენის რამდენი წვეთი მიიღო {{name}}?
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-DROPS.DISPLAY,,Dosis: {{value}} Tropfen,Dose: {{value}} drop,Доза: {{value}} капель,Doz: {{value}} damla,الجرعة: {{value}} قطرات,Dose: {{value}}gouttes,دوز: {{value}} قطره,Dosis: {{value}} druppels,Dawka: {{value}} Krople,dose: {{value}}gocce,Dosis: {{value}} gotas,Dosis: {{value}} gotas,Dose: {{value}} gotas,Доза: {{value}} крапель,დოზა: {{value}} წვეთი
DIARY.MEDICATION.MEDICATION_2-IBUPROFEN-DOSE-DROPS.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
